Proteins	Genes of polypeptide, complex, or RNA	Common-Name	Locations
EWS79_RS04745-MONOMER	EWS79_RS04745	envelope stress response membrane protein PspC	
EWS79_RS08505-MONOMER	EWS79_RS08505	epoxyqueuosine reductase QueH	
EWS79_RS03955-MONOMER	EWS79_RS03955	esterase	
EWS79_RS06120-MONOMER	EWS79_RS06120	ethanolamine permease	
EWS79_RS00670-MONOMER	EWS79_RS00670	ExbD/TolR family protein	
EWS79_RS07090-MONOMER	EWS79_RS07090	excinuclease ABC subunit UvrA	
EWS79_RS01530-MONOMER	EWS79_RS01530	excinuclease ABC subunit UvrB	CCI-CYTOSOL-GN
EWS79_RS02965-MONOMER	EWS79_RS02965	excinuclease ABC subunit UvrC	
EWS79_RS07610-MONOMER	EWS79_RS07610	exodeoxyribonuclease III	CCI-CYTOSOL-GN
EWS79_RS06220-MONOMER	EWS79_RS06220	exodeoxyribonuclease III	
EWS79_RS01280-MONOMER	EWS79_RS01280	exodeoxyribonuclease VII large subunit	
EWS79_RS03790-MONOMER	EWS79_RS03790	exodeoxyribonuclease VII small subunit	CCI-CYTOSOL-GN
EWS79_RS07515-MONOMER	EWS79_RS07515	extensin family protein	
CPLX1W2W-11	EWS79_RS02950 // EWS79_RS02945	F0F1 ATP synthase	
CPLX1W2W-10	EWS79_RS01040 // EWS79_RS01035 // EWS79_RS01030 // EWS79_RS01025 // EWS79_RS01020	F0F1 ATP synthase	
EWS79_RS02945-MONOMER	EWS79_RS02945	F0F1 ATP synthase subunit A	CCI-PM-BAC-NEG-GN
EWS79_RS01025-MONOMER	EWS79_RS01025	F0F1 ATP synthase subunit alpha	CCI-CYTOSOL-GN
EWS79_RS01035-MONOMER	EWS79_RS01035	F0F1 ATP synthase subunit beta	CCI-PM-BAC-NEG-GN
EWS79_RS02950-MONOMER	EWS79_RS02950	F0F1 ATP synthase subunit C	CCI-PM-BAC-NEG-GN
EWS79_RS01020-MONOMER	EWS79_RS01020	F0F1 ATP synthase subunit delta	CCI-CYTOSOL-GN
EWS79_RS01030-MONOMER	EWS79_RS01030	F0F1 ATP synthase subunit gamma	
EWS79_RS04495-MONOMER	EWS79_RS04495	FAD-binding oxidoreductase	
EWS79_RS06415-MONOMER	EWS79_RS06415	FAD-binding oxidoreductase	
EWS79_RS08255-MONOMER	EWS79_RS08255	FAD:protein FMN transferase	
EWS79_RS06210-MONOMER	EWS79_RS06210	fatty acid hydroxylase family protein	
EWS79_RS03105-MONOMER	EWS79_RS03105	fatty acyl-AMP ligase	
EWS79_RS01810-MONOMER	EWS79_RS01810	Fe-S cluster assembly ATPase SufC	
EWS79_RS01805-MONOMER	EWS79_RS01805	Fe-S cluster assembly protein SufB	CCI-CYTOSOL-GN
EWS79_RS08140-MONOMER	EWS79_RS08140	ferredoxin	
EWS79_RS00935-MONOMER	EWS79_RS00935	ferredoxin family protein	CCI-CYTOSOL-GN
EWS79_RS08200-MONOMER	EWS79_RS08200	ferredoxin III, nif-specific	
EWS79_RS07850-MONOMER	EWS79_RS07850	ferredoxin--NADP reductase	CCI-CYTOSOL-GN
EWS79_RS01295-MONOMER	EWS79_RS01295	ferrochelatase	CCI-CYTOSOL-GN
EWS79_RS06855-MONOMER	EWS79_RS06855	ferrous iron transport protein A	
EWS79_RS06860-MONOMER	EWS79_RS06860	ferrous iron transport protein B	
EWS79_RS05015-MONOMER	EWS79_RS05015	Fis family transcriptional regulator	CCI-CYTOSOL-GN
EWS79_RS07670-MONOMER	EWS79_RS07670	FKBP-type peptidyl-prolyl cis-trans isomerase	
EWS79_RS02685-MONOMER	EWS79_RS02685	flagellar basal body L-ring protein FlgH	
EWS79_RS02730-MONOMER	EWS79_RS02730	flagellar basal body P-ring formation protein FlgA	
EWS79_RS02680-MONOMER	EWS79_RS02680	flagellar basal body P-ring protein FlgI	CCI-PERI-BAC-GN
EWS79_RS02715-MONOMER	EWS79_RS02715	flagellar basal body rod protein FlgB	CCI-PERI-BAC-GN
EWS79_RS02710-MONOMER	EWS79_RS02710	flagellar basal body rod protein FlgC	CCI-PERI-BAC-GN
EWS79_RS02820-MONOMER	EWS79_RS02820	flagellar basal body-associated FliL family protein	
EWS79_RS02695-MONOMER	EWS79_RS02695	flagellar basal-body rod protein FlgF	CCI-PERI-BAC-GN
EWS79_RS02690-MONOMER	EWS79_RS02690	flagellar basal-body rod protein FlgG	CCI-EXTRACELLULAR-GN
EWS79_RS02735-MONOMER	EWS79_RS02735	flagellar biosynthesis anti-sigma factor FlgM	
EWS79_RS02745-MONOMER	EWS79_RS02745	flagellar biosynthesis protein FlhA	CCI-PM-BAC-NEG-GN
EWS79_RS02855-MONOMER	EWS79_RS02855	flagellar biosynthesis protein FlhB	
EWS79_RS02835-MONOMER	EWS79_RS02835	flagellar biosynthetic protein FliO	
EWS79_RS02845-MONOMER	EWS79_RS02845	flagellar biosynthetic protein FliQ	CCI-PM-BAC-NEG-GN
EWS79_RS02850-MONOMER	EWS79_RS02850	flagellar biosynthetic protein FliR	
EWS79_RS02705-MONOMER	EWS79_RS02705	flagellar hook capping protein	CCI-EXTRACELLULAR-GN
EWS79_RS02860-MONOMER	EWS79_RS02860	flagellar hook protein FliD	
EWS79_RS02670-MONOMER	EWS79_RS02670	flagellar hook-associated protein FlgK	
EWS79_RS02700-MONOMER	EWS79_RS02700	flagellar hook-basal body complex protein	
EWS79_RS02780-MONOMER	EWS79_RS02780	flagellar hook-basal body complex protein FliE	
EWS79_RS02815-MONOMER	EWS79_RS02815	flagellar hook-length control protein FliK	
EWS79_RS02785-MONOMER	EWS79_RS02785	flagellar M-ring protein FliF	
EWS79_RS02720-MONOMER	EWS79_RS02720	flagellar motor protein MotA	
EWS79_RS02655-MONOMER	EWS79_RS02655	flagellar motor protein MotB	CCI-PM-BAC-NEG-GN
EWS79_RS02660-MONOMER	EWS79_RS02660	flagellar motor stator protein MotA	CCI-PM-BAC-NEG-GN
EWS79_RS02790-MONOMER	EWS79_RS02790	flagellar motor switch protein FliG	CCI-CYTOSOL-GN
EWS79_RS02825-MONOMER	EWS79_RS02825	flagellar motor switch protein FliM	CCI-CYTOSOL-GN
EWS79_RS02830-MONOMER	EWS79_RS02830	flagellar motor switch protein FliN	CCI-PM-BAC-NEG-GN
EWS79_RS02675-MONOMER	EWS79_RS02675	flagellar protein FlgJ	
EWS79_RS02865-MONOMER	EWS79_RS02865	flagellar protein FliS	CCI-CYTOSOL-GN
EWS79_RS02840-MONOMER	EWS79_RS02840	flagellar type III secretion system pore protein FliP	
EWS79_RS02770-MONOMER	EWS79_RS02770	flagellin	
EWS79_RS02665-MONOMER	EWS79_RS02665	flagellin	
EWS79_RS08850-MONOMER	EWS79_RS08850	flavodoxin family protein	
EWS79_RS08295-MONOMER	EWS79_RS08295	flavodoxin FldA	
EWS79_RS00765-MONOMER	EWS79_RS00765	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	
EWS79_RS02755-MONOMER	EWS79_RS02755	FliA/WhiG family RNA polymerase sigma factor	CCI-CYTOSOL-GN
EWS79_RS02800-MONOMER	EWS79_RS02800	FliI/YscN family ATPase	CCI-CYTOSOL-GN
EWS79_RS07555-MONOMER	EWS79_RS07555	folate-binding protein	CCI-CYTOSOL-GN
EWS79_RS06980-MONOMER	EWS79_RS06980	formate C-acetyltransferase	
EWS79_RS01940-MONOMER	EWS79_RS01940	formate--tetrahydrofolate ligase	
EWS79_RS07705-MONOMER	EWS79_RS07705	fructokinase	CCI-CYTOSOL-GN
EWS79_RS05825-MONOMER	EWS79_RS05825	fumarate hydratase	
EWS79_RS06370-MONOMER	EWS79_RS06370	FUSC family protein	
EWS79_RS02180-MONOMER	EWS79_RS02180	GAF domain-containing protein	
EWS79_RS03940-MONOMER	EWS79_RS03940	galactose mutarotase	
EWS79_RS06160-MONOMER	EWS79_RS06160	gamma-glutamyltransferase	
EWS79_RS07220-MONOMER	EWS79_RS07220	GatB/YqeY domain-containing protein	
EWS79_RS01730-MONOMER	EWS79_RS01730	GcrA cell cycle regulator	
EWS79_RS06065-MONOMER	EWS79_RS06065	GGDEF domain-containing protein	
EWS79_RS04080-MONOMER	EWS79_RS04080	GGDEF domain-containing protein	
EWS79_RS01110-MONOMER	EWS79_RS01110	GHKL domain-containing protein	
EWS79_RS03910-MONOMER	EWS79_RS03910	globin-coupled sensor protein	
EWS79_RS05740-MONOMER	EWS79_RS05740	GlsB/YeaQ/YmgE family stress response membrane protein	CCI-PM-BAC-NEG-GN
EWS79_RS04010-MONOMER	EWS79_RS04010	glucan biosynthesis protein D	
EWS79_RS04015-MONOMER	EWS79_RS04015	glucans biosynthesis glucosyltransferase MdoH	
EWS79_RS01560-MONOMER	EWS79_RS01560	glucokinase	
EWS79_RS07870-MONOMER	EWS79_RS07870	gluconokinase	CCI-CYTOSOL-GN
EWS79_RS07020-MONOMER	EWS79_RS07020	glucose 1-dehydrogenase	
EWS79_RS01550-MONOMER	EWS79_RS01550	glucose-6-phosphate dehydrogenase	CCI-CYTOSOL-GN
EWS79_RS05425-MONOMER	EWS79_RS05425	glucose-6-phosphate isomerase	CCI-CYTOSOL-GN
EWS79_RS03045-MONOMER	EWS79_RS03045	glucose-fructose oxidoreductase	
EWS79_RS00885-MONOMER	EWS79_RS00885	glutamate 5-kinase	
EWS79_RS05360-MONOMER	EWS79_RS05360	glutamate racemase	
EWS79_RS04980-MONOMER	EWS79_RS04980	glutamate synthase large subunit	CCI-PM-BAC-NEG-GN
EWS79_RS06925-MONOMER	EWS79_RS06925	glutamate--cysteine ligase	
EWS79_RS03985-MONOMER	EWS79_RS03985	glutamate--tRNA ligase	
EWS79_RS08930-MONOMER	EWS79_RS08930	glutamate--tRNA ligase	
EWS79_RS07430-MONOMER	EWS79_RS07430	glutamate-5-semialdehyde dehydrogenase	
EWS79_RS00235-MONOMER	EWS79_RS00235	glutamine--fructose-6-phosphate transaminase (isomerizing)	
EWS79_RS05650-MONOMER	EWS79_RS05650	glutamine-hydrolyzing GMP synthase	CCI-CYTOSOL-GN
EWS79_RS08470-MONOMER	EWS79_RS08470	glutaminyl-peptide cyclotransferase	
EWS79_RS00285-MONOMER	EWS79_RS00285	glutaredoxin 2	
EWS79_RS03340-MONOMER	EWS79_RS03340	glutaredoxin 3	
EWS79_RS02535-MONOMER	EWS79_RS02535	glutaredoxin, GrxB family	CCI-CYTOSOL-GN
EWS79_RS04155-MONOMER	EWS79_RS04155	glutathione S-transferase	
EWS79_RS04985-MONOMER	EWS79_RS04985	glutathione S-transferase family protein	
EWS79_RS08650-MONOMER	EWS79_RS08650	glutathione synthase	
EWS79_RS05420-MONOMER	EWS79_RS05420	glutathione-disulfide reductase	
EWS79_RS00245-MONOMER	EWS79_RS00245	glycerate kinase	
EWS79_RS05350-MONOMER	EWS79_RS05350	glycerol-3-phosphate 1-O-acyltransferase	CCI-PM-BAC-NEG-GN
EWS79_RS01855-MONOMER	EWS79_RS01855	glycine zipper 2TM domain-containing protein	
CPLX1W2W-3	EWS79_RS06435 // EWS79_RS06430	glycine--tRNA ligase	
EWS79_RS06435-MONOMER	EWS79_RS06435	glycine--tRNA ligase subunit alpha	CCI-CYTOSOL-GN
EWS79_RS06430-MONOMER	EWS79_RS06430	glycine--tRNA ligase subunit beta	
EWS79_RS01585-MONOMER	EWS79_RS01585	glycoside hydrolase family 68 protein	CCI-EXTRACELLULAR-GN
EWS79_RS01580-MONOMER	EWS79_RS01580	glycoside hydrolase family 68 protein	CCI-EXTRACELLULAR-GN
EWS79_RS04840-MONOMER	EWS79_RS04840	glycosyl hydrolase family 5	
EWS79_RS02765-MONOMER	EWS79_RS02765	glycosyl transferase family 2	
EWS79_RS04330-MONOMER	EWS79_RS04330	glycosyltransferase	CCI-PM-BAC-NEG-GN
EWS79_RS02875-MONOMER	EWS79_RS02875	glycosyltransferase	
EWS79_RS07780-MONOMER	EWS79_RS07780	glycosyltransferase	
EWS79_RS00450-MONOMER	EWS79_RS00450	glycosyltransferase	
EWS79_RS05730-MONOMER	EWS79_RS05730	glycosyltransferase	
EWS79_RS03850-MONOMER	EWS79_RS03850	glycosyltransferase	CCI-PM-BAC-NEG-GN
EWS79_RS04220-MONOMER	EWS79_RS04220	glycosyltransferase	
EWS79_RS01305-MONOMER	EWS79_RS01305	glycosyltransferase family 1 protein	CCI-CYTOSOL-GN
EWS79_RS05520-MONOMER	EWS79_RS05520	glycosyltransferase family 1 protein	
EWS79_RS08895-MONOMER	EWS79_RS08895	glycosyltransferase family 1 protein	CCI-CYTOSOL-GN
EWS79_RS04030-MONOMER	EWS79_RS04030	glycosyltransferase family 1 protein	
EWS79_RS02165-MONOMER	EWS79_RS02165	glycosyltransferase family 2 protein	
EWS79_RS08500-MONOMER	EWS79_RS08500	glyoxylate/hydroxypyruvate reductase A	
EWS79_RS03480-MONOMER	EWS79_RS03480	GMC family oxidoreductase	
EWS79_RS05720-MONOMER	EWS79_RS05720	GMC family oxidoreductase	
EWS79_RS02185-MONOMER	EWS79_RS02185	GNAT family N-acetyltransferase	
EWS79_RS00615-MONOMER	EWS79_RS00615	GNAT family N-acetyltransferase	
EWS79_RS04235-MONOMER	EWS79_RS04235	GNAT family N-acetyltransferase	
EWS79_RS08450-MONOMER	EWS79_RS08450	Grx4 family monothiol glutaredoxin	
EWS79_RS05505-MONOMER	EWS79_RS05505	GTP cyclohydrolase I FolE	CCI-CYTOSOL-GN
EWS79_RS07605-MONOMER	EWS79_RS07605	GTP cyclohydrolase II	
EWS79_RS06140-MONOMER	EWS79_RS06140	GTPase Era	CCI-PM-BAC-NEG-GN
EWS79_RS01465-MONOMER	EWS79_RS01465	GTPase HflX	
EWS79_RS00890-MONOMER	EWS79_RS00890	GTPase ObgE	
EWS79_RS02155-MONOMER	EWS79_RS02155	GtrA family protein	
EWS79_RS04175-MONOMER	EWS79_RS04175	guanine deaminase	
EWS79_RS01850-MONOMER	EWS79_RS01850	guanylate kinase	CCI-CYTOSOL-GN
EWS79_RS08075-MONOMER	EWS79_RS08075	HAD family hydrolase	
EWS79_RS08370-MONOMER	EWS79_RS08370	HAD family hydrolase	
EWS79_RS01885-MONOMER	EWS79_RS01885	HAD family phosphatase	
EWS79_RS08375-MONOMER	EWS79_RS08375	HAD family phosphatase	
EWS79_RS02900-MONOMER	EWS79_RS02900	HAD-IB family hydrolase	CCI-CYTOSOL-GN
EWS79_RS08920-MONOMER	EWS79_RS08920	HAMP domain-containing histidine kinase	
EWS79_RS04930-MONOMER	EWS79_RS04930	HAMP domain-containing histidine kinase	
EWS79_RS05900-MONOMER	EWS79_RS05900	HAMP domain-containing histidine kinase	
EWS79_RS05010-MONOMER	EWS79_RS05010	HAMP domain-containing protein	CCI-PM-BAC-NEG-GN
EWS79_RS05250-MONOMER	EWS79_RS05250	HAMP domain-containing protein	
EWS79_RS00075-MONOMER	EWS79_RS00075	heat-inducible transcriptional repressor HrcA	CCI-CYTOSOL-GN
EWS79_RS04065-MONOMER	EWS79_RS04065	heavy-metal-associated domain-containing protein	CCI-CYTOSOL-GN
EWS79_RS00930-MONOMER	EWS79_RS00930	helicase	
EWS79_RS06610-MONOMER	EWS79_RS06610	helicase UvrD	
EWS79_RS07405-MONOMER	EWS79_RS07405	helix-turn-helix domain-containing protein	
EWS79_RS01605-MONOMER	EWS79_RS01605	helix-turn-helix domain-containing protein	
EWS79_RS01115-MONOMER	EWS79_RS01115	heme ABC exporter ATP-binding protein CcmA	
EWS79_RS05605-MONOMER	EWS79_RS05605	heme lyase CcmF/NrfE family subunit	
EWS79_RS06020-MONOMER	EWS79_RS06020	heme-degrading domain-containing protein	
EWS79_RS00095-MONOMER	EWS79_RS00095	heparinase	
EWS79_RS05335-MONOMER	EWS79_RS05335	HesA/MoeB/ThiF family protein	
EWS79_RS03030-MONOMER	EWS79_RS03030	histidine kinase	
EWS79_RS03335-MONOMER	EWS79_RS03335	histidine phosphotransferase	CCI-CYTOSOL-GN
EWS79_RS06680-MONOMER	EWS79_RS06680	histidine triad nucleotide-binding protein	CCI-CYTOSOL-GN
EWS79_RS06725-MONOMER	EWS79_RS06725	histidine--tRNA ligase	CCI-CYTOSOL-GN
EWS79_RS00255-MONOMER	EWS79_RS00255	histidine-type phosphatase	
EWS79_RS06905-MONOMER	EWS79_RS06905	histidinol dehydrogenase	CCI-CYTOSOL-GN
EWS79_RS01795-MONOMER	EWS79_RS01795	histidinol-phosphate transaminase	CCI-CYTOSOL-GN
EWS79_RS01265-MONOMER	EWS79_RS01265	HlyC/CorC family transporter	CCI-PM-BAC-NEG-GN
EWS79_RS00295-MONOMER	EWS79_RS00295	HlyC/CorC family transporter	CCI-PM-BAC-NEG-GN
EWS79_RS01095-MONOMER	EWS79_RS01095	HlyD family efflux transporter periplasmic adaptor subunit	
EWS79_RS04295-MONOMER	EWS79_RS04295	HlyD family efflux transporter periplasmic adaptor subunit	CCI-PM-BAC-NEG-GN
EWS79_RS03545-MONOMER	EWS79_RS03545	HlyD family efflux transporter periplasmic adaptor subunit	
EWS79_RS06360-MONOMER	EWS79_RS06360	HlyD family secretion protein	CCI-PM-BAC-NEG-GN
EWS79_RS07880-MONOMER	EWS79_RS07880	HNH endonuclease	
EWS79_RS00655-MONOMER	EWS79_RS00655	Holliday junction branch migration DNA helicase RuvB	
EWS79_RS00640-MONOMER	EWS79_RS00640	Holliday junction branch migration protein RuvA	CCI-CYTOSOL-GN
EWS79_RS03470-MONOMER	EWS79_RS03470	Holliday junction resolvase RuvX	
EWS79_RS07655-MONOMER	EWS79_RS07655	holo-ACP synthase	
EWS79_RS08225-MONOMER	EWS79_RS08225	homocitrate synthase	
EWS79_RS02060-MONOMER	EWS79_RS02060	homoserine dehydrogenase	
EWS79_RS07135-MONOMER	EWS79_RS07135	homoserine kinase	
EWS79_RS06130-MONOMER	EWS79_RS06130	homoserine kinase	
EWS79_RS00960-MONOMER	EWS79_RS00960	homoserine O-acetyltransferase	CCI-CYTOSOL-GN
EWS79_RS03890-MONOMER	EWS79_RS03890	hopanoid biosynthesis associated membrane protein HpnM	
EWS79_RS04335-MONOMER	EWS79_RS04335	hopanoid biosynthesis associated radical SAM protein HpnJ	
EWS79_RS07130-MONOMER	EWS79_RS07130	hopanoid biosynthesis-associated RND transporter HpnN	CCI-PM-BAC-NEG-GN
EWS79_RS04345-MONOMER	EWS79_RS04345	HpnL family protein	CCI-PM-BAC-NEG-GN
EWS79_RS05920-MONOMER	EWS79_RS05920	HPr family phosphocarrier protein	CCI-CYTOSOL-GN
EWS79_RS04420-MONOMER	EWS79_RS04420	Hsp20 family protein	CCI-CYTOSOL-GN
EWS79_RS01745-MONOMER	EWS79_RS01745	Hsp33 family molecular chaperone HslO	
EWS79_RS01050-MONOMER	EWS79_RS01050	HU family DNA-binding protein	CCI-CYTOSOL-GN
EWS79_RS08520-MONOMER	EWS79_RS08520	hydrolase	
EWS79_RS02895-MONOMER	EWS79_RS02895	hydrolase	
EWS79_RS03365-MONOMER	EWS79_RS03365	hydroxyacylglutathione hydrolase	CCI-CYTOSOL-GN
EWS79_RS00485-MONOMER	EWS79_RS00485	hydroxylamine reductase	CCI-CYTOSOL-GN
EWS79_RS08600-MONOMER	EWS79_RS08600	hydroxymethylbilane synthase	CCI-CYTOSOL-GN
EWS79_RS07955-MONOMER	EWS79_RS07955	hypothetical protein	CCI-PM-BAC-NEG-GN
EWS79_RS00055-MONOMER	EWS79_RS00055	hypothetical protein	
EWS79_RS08905-MONOMER	EWS79_RS08905	hypothetical protein	
EWS79_RS01140-MONOMER	EWS79_RS01140	hypothetical protein	
EWS79_RS07275-MONOMER	EWS79_RS07275	hypothetical protein	CCI-PM-BAC-NEG-GN
EWS79_RS03165-MONOMER	EWS79_RS03165	hypothetical protein	CCI-CYTOSOL-GN
EWS79_RS04145-MONOMER	EWS79_RS04145	hypothetical protein	
EWS79_RS07270-MONOMER	EWS79_RS07270	hypothetical protein	CCI-PM-BAC-NEG-GN
EWS79_RS04520-MONOMER	EWS79_RS04520	hypothetical protein	
EWS79_RS04260-MONOMER	EWS79_RS04260	hypothetical protein	CCI-PM-BAC-NEG-GN
EWS79_RS01655-MONOMER	EWS79_RS01655	hypothetical protein	
EWS79_RS05860-MONOMER	EWS79_RS05860	hypothetical protein	
EWS79_RS00735-MONOMER	EWS79_RS00735	hypothetical protein	
EWS79_RS06495-MONOMER	EWS79_RS06495	hypothetical protein	
EWS79_RS03075-MONOMER	EWS79_RS03075	hypothetical protein	
EWS79_RS01575-MONOMER	EWS79_RS01575	hypothetical protein	
EWS79_RS05055-MONOMER	EWS79_RS05055	hypothetical protein	
EWS79_RS01670-MONOMER	EWS79_RS01670	hypothetical protein	
EWS79_RS08750-MONOMER	EWS79_RS08750	hypothetical protein	
EWS79_RS06150-MONOMER	EWS79_RS06150	hypothetical protein	
EWS79_RS06845-MONOMER	EWS79_RS06845	hypothetical protein	
EWS79_RS07965-MONOMER	EWS79_RS07965	hypothetical protein	
EWS79_RS05870-MONOMER	EWS79_RS05870	hypothetical protein	
EWS79_RS06215-MONOMER	EWS79_RS06215	hypothetical protein	CCI-CYTOSOL-GN
EWS79_RS04815-MONOMER	EWS79_RS04815	hypothetical protein	
EWS79_RS07185-MONOMER	EWS79_RS07185	hypothetical protein	CCI-PM-BAC-NEG-GN
EWS79_RS03305-MONOMER	EWS79_RS03305	hypothetical protein	
EWS79_RS03395-MONOMER	EWS79_RS03395	hypothetical protein	
EWS79_RS02630-MONOMER	EWS79_RS02630	hypothetical protein	
EWS79_RS00780-MONOMER	EWS79_RS00780	hypothetical protein	
EWS79_RS00645-MONOMER	EWS79_RS00645	hypothetical protein	CCI-CYTOSOL-GN
EWS79_RS04090-MONOMER	EWS79_RS04090	hypothetical protein	
EWS79_RS01620-MONOMER	EWS79_RS01620	hypothetical protein	CCI-CYTOSOL-GN
EWS79_RS02810-MONOMER	EWS79_RS02810	hypothetical protein	
EWS79_RS06380-MONOMER	EWS79_RS06380	hypothetical protein	CCI-CYTOSOL-GN
EWS79_RS01145-MONOMER	EWS79_RS01145	hypothetical protein	
EWS79_RS05430-MONOMER	EWS79_RS05430	hypothetical protein	CCI-CYTOSOL-GN
EWS79_RS06050-MONOMER	EWS79_RS06050	hypothetical protein	
EWS79_RS03230-MONOMER	EWS79_RS03230	hypothetical protein	
EWS79_RS05880-MONOMER	EWS79_RS05880	hypothetical protein	
EWS79_RS08910-MONOMER	EWS79_RS08910	hypothetical protein	
EWS79_RS01130-MONOMER	EWS79_RS01130	hypothetical protein	
EWS79_RS02505-MONOMER	EWS79_RS02505	hypothetical protein	CCI-PM-BAC-NEG-GN
EWS79_RS01155-MONOMER	EWS79_RS01155	hypothetical protein	
EWS79_RS07730-MONOMER	EWS79_RS07730	hypothetical protein	
EWS79_RS08545-MONOMER	EWS79_RS08545	hypothetical protein	
EWS79_RS01125-MONOMER	EWS79_RS01125	hypothetical protein	
EWS79_RS01485-MONOMER	EWS79_RS01485	hypothetical protein	
EWS79_RS01270-MONOMER	EWS79_RS01270	hypothetical protein	
EWS79_RS06710-MONOMER	EWS79_RS06710	hypothetical protein	
EWS79_RS04940-MONOMER	EWS79_RS04940	hypothetical protein	
EWS79_RS07475-MONOMER	EWS79_RS07475	hypothetical protein	
EWS79_RS06560-MONOMER	EWS79_RS06560	hypothetical protein	CCI-CYTOSOL-GN
EWS79_RS06570-MONOMER	EWS79_RS06570	hypothetical protein	
EWS79_RS04140-MONOMER	EWS79_RS04140	hypothetical protein	
EWS79_RS08900-MONOMER	EWS79_RS08900	hypothetical protein	
EWS79_RS07290-MONOMER	EWS79_RS07290	hypothetical protein	CCI-PM-BAC-NEG-GN
EWS79_RS08755-MONOMER	EWS79_RS08755	hypothetical protein	
EWS79_RS00290-MONOMER	EWS79_RS00290	hypothetical protein	
EWS79_RS07900-MONOMER	EWS79_RS07900	hypothetical protein	
EWS79_RS07180-MONOMER	EWS79_RS07180	hypothetical protein	
EWS79_RS04760-MONOMER	EWS79_RS04760	hypothetical protein	
EWS79_RS03990-MONOMER	EWS79_RS03990	hypothetical protein	
EWS79_RS02085-MONOMER	EWS79_RS02085	hypothetical protein	
EWS79_RS08685-MONOMER	EWS79_RS08685	hypothetical protein	
EWS79_RS08790-MONOMER	EWS79_RS08790	hypothetical protein	
EWS79_RS03965-MONOMER	EWS79_RS03965	hypothetical protein	
EWS79_RS06605-MONOMER	EWS79_RS06605	hypothetical protein	
EWS79_RS05440-MONOMER	EWS79_RS05440	hypothetical protein	
EWS79_RS05690-MONOMER	EWS79_RS05690	hypothetical protein	
EWS79_RS00460-MONOMER	EWS79_RS00460	hypothetical protein	
EWS79_RS03095-MONOMER	EWS79_RS03095	hypothetical protein	
EWS79_RS01135-MONOMER	EWS79_RS01135	hypothetical protein	
EWS79_RS07425-MONOMER	EWS79_RS07425	hypothetical protein	
EWS79_RS07190-MONOMER	EWS79_RS07190	hypothetical protein	
EWS79_RS03975-MONOMER	EWS79_RS03975	hypothetical protein	
EWS79_RS01995-MONOMER	EWS79_RS01995	hypothetical protein	
EWS79_RS01630-MONOMER	EWS79_RS01630	hypothetical protein	
EWS79_RS08010-MONOMER	EWS79_RS08010	hypothetical protein	
EWS79_RS03605-MONOMER	EWS79_RS03605	hypothetical protein	
EWS79_RS00435-MONOMER	EWS79_RS00435	hypothetical protein	
EWS79_RS01685-MONOMER	EWS79_RS01685	hypothetical protein	
EWS79_RS01765-MONOMER	EWS79_RS01765	hypothetical protein	CCI-EXTRACELLULAR-GN
EWS79_RS01640-MONOMER	EWS79_RS01640	hypothetical protein	
EWS79_RS02050-MONOMER	EWS79_RS02050	hypothetical protein	
EWS79_RS06575-MONOMER	EWS79_RS06575	hypothetical protein	
EWS79_RS03135-MONOMER	EWS79_RS03135	hypothetical protein	CCI-PM-BAC-NEG-GN
EWS79_RS08380-MONOMER	EWS79_RS08380	hypothetical protein	
EWS79_RS01875-MONOMER	EWS79_RS01875	hypothetical protein	
EWS79_RS04820-MONOMER	EWS79_RS04820	hypothetical protein	
EWS79_RS07750-MONOMER	EWS79_RS07750	hypothetical protein	
EWS79_RS06650-MONOMER	EWS79_RS06650	hypothetical protein	
EWS79_RS08665-MONOMER	EWS79_RS08665	hypothetical protein	
EWS79_RS01615-MONOMER	EWS79_RS01615	hypothetical protein	
EWS79_RS06525-MONOMER	EWS79_RS06525	hypothetical protein	
EWS79_RS03895-MONOMER	EWS79_RS03895	hypothetical protein	
EWS79_RS02095-MONOMER	EWS79_RS02095	hypothetical protein	
EWS79_RS01005-MONOMER	EWS79_RS01005	hypothetical protein	
EWS79_RS01045-MONOMER	EWS79_RS01045	hypothetical protein	
EWS79_RS04150-MONOMER	EWS79_RS04150	hypothetical protein	
EWS79_RS00270-MONOMER	EWS79_RS00270	hypothetical protein	
EWS79_RS05655-MONOMER	EWS79_RS05655	hypothetical protein	
EWS79_RS05795-MONOMER	EWS79_RS05795	hypothetical protein	
EWS79_RS02030-MONOMER	EWS79_RS02030	hypothetical protein	
EWS79_RS02975-MONOMER	EWS79_RS02975	hypothetical protein	
EWS79_RS07995-MONOMER	EWS79_RS07995	hypothetical protein	
EWS79_RS06095-MONOMER	EWS79_RS06095	hypothetical protein	
EWS79_RS08015-MONOMER	EWS79_RS08015	hypothetical protein	
EWS79_RS05770-MONOMER	EWS79_RS05770	hypothetical protein	
EWS79_RS05790-MONOMER	EWS79_RS05790	hypothetical protein	
EWS79_RS05170-MONOMER	EWS79_RS05170	hypothetical protein	
EWS79_RS04310-MONOMER	EWS79_RS04310	hypothetical protein	
EWS79_RS05760-MONOMER	EWS79_RS05760	hypothetical protein	
EWS79_RS03310-MONOMER	EWS79_RS03310	hypothetical protein	
EWS79_RS00445-MONOMER	EWS79_RS00445	hypothetical protein	
