Reaction	Complexes
METAT	ZMO0273-MONOMER_mod_k(4)_mod_mg2(1) OR ZMO0273-MONOMER_mod_k(4)_mod_mn2(1) OR ZMO0273-MONOMER_mod_k(4)_mod_cobalt2(1) OR ZMO0273-MONOMER_mod_k(4)_mod_zn2(1) OR ZMO0273-MONOMER_mod_k(4)_mod_cd2(1) OR ZMO0273-MONOMER_mod_k(4)_mod_ni2(1) OR ZMO0273-MONOMER_mod_k(4)_mod_ca2(1) OR ZMO0273-MONOMER_mod_nh4(4)_mod_mg2(1) OR ZMO0273-MONOMER_mod_nh4(4)_mod_mn2(1) OR ZMO0273-MONOMER_mod_nh4(4)_mod_cobalt2(1) OR ZMO0273-MONOMER_mod_nh4(4)_mod_zn2(1) OR ZMO0273-MONOMER_mod_nh4(4)_mod_cd2(1) OR ZMO0273-MONOMER_mod_nh4(4)_mod_ni2(1) OR ZMO0273-MONOMER_mod_nh4(4)_mod_ca2(1) OR ZMO0273-MONOMER_mod_tl(4)_mod_mg2(1) OR ZMO0273-MONOMER_mod_tl(4)_mod_mn2(1) OR ZMO0273-MONOMER_mod_tl(4)_mod_cobalt2(1) OR ZMO0273-MONOMER_mod_tl(4)_mod_zn2(1) OR ZMO0273-MONOMER_mod_tl(4)_mod_cd2(1) OR ZMO0273-MONOMER_mod_tl(4)_mod_ni2(1) OR ZMO0273-MONOMER_mod_tl(4)_mod_ca2(1) OR ZMO0273-MONOMER_mod_cs(4)_mod_mg2(1) OR ZMO0273-MONOMER_mod_cs(4)_mod_mn2(1) OR ZMO0273-MONOMER_mod_cs(4)_mod_cobalt2(1) OR ZMO0273-MONOMER_mod_cs(4)_mod_zn2(1) OR ZMO0273-MONOMER_mod_cs(4)_mod_cd2(1) OR ZMO0273-MONOMER_mod_cs(4)_mod_ni2(1) OR ZMO0273-MONOMER_mod_cs(4)_mod_ca2(1) OR ZMO0273-MONOMER_mod_LI(4)_mod_mg2(1) OR ZMO0273-MONOMER_mod_LI(4)_mod_mn2(1) OR ZMO0273-MONOMER_mod_LI(4)_mod_cobalt2(1) OR ZMO0273-MONOMER_mod_LI(4)_mod_zn2(1) OR ZMO0273-MONOMER_mod_LI(4)_mod_cd2(1) OR ZMO0273-MONOMER_mod_LI(4)_mod_ni2(1) OR ZMO0273-MONOMER_mod_LI(4)_mod_ca2(1) OR ZMO0273-MONOMER_mod_na1(4)_mod_mg2(1) OR ZMO0273-MONOMER_mod_na1(4)_mod_mn2(1) OR ZMO0273-MONOMER_mod_na1(4)_mod_cobalt2(1) OR ZMO0273-MONOMER_mod_na1(4)_mod_zn2(1) OR ZMO0273-MONOMER_mod_na1(4)_mod_cd2(1) OR ZMO0273-MONOMER_mod_na1(4)_mod_ni2(1) OR ZMO0273-MONOMER_mod_na1(4)_mod_ca2(1)
METB1	ZMO0676-MONOMER_mod_pydx5p(1)
METS	ZMO1745-MONOMER OR ZMO1000-MONOMER
METSOXR1	CPLX_METSOXR1-0
METTRS	ZMO1092-MONOMER_mod_zn2(2)
MG2t3_2pp	ZMO0866-MONOMER OR ZMO0770-MONOMER
MI1PP	ZMO0329-MONOMER_mod_mg2(1)
MN2t3pp	ZMO0866-MONOMER
MNLDH2	ZMO1449-MONOMER
MNLDHr	ZMO1449-MONOMER
MOHMT	ZMO1952-MONOMER_mod_mg2(1) OR ZMO1970-MONOMER
MSO3abcpp	CPLX_BUTSO3abcpp-0
MTHFC	ZMO0914-MONOMER
MTHFD	ZMO0914-MONOMER
MTHFR2	ZMO1747-MONOMER_mod_fad(1)
NADDP	ZMO0364-MONOMER
NADH5_Q10	ZMO1113-MONOMER_mod_mg2(1)_mod_cu(1)_mod_fad(1)
NADK	ZMO1329-MONOMER_mod_mg2(1)
NADS1	ZMO0899-MONOMER
NAt3_2pp	ZMO0119-MONOMER
NDPK1	ZMO0538-MONOMER_mod_mg2(1)
NDPK2	ZMO0538-MONOMER_mod_mg2(1)
NDPK3	ZMO0538-MONOMER_mod_mg2(1)
NDPK4	ZMO0538-MONOMER_mod_mg2(1)
NDPK5	ZMO0538-MONOMER_mod_mg2(1)
NDPK6	ZMO0538-MONOMER_mod_mg2(1)
NDPK7	ZMO0538-MONOMER_mod_mg2(1)
NDPK8	ZMO0538-MONOMER_mod_mg2(1)
NFORGLUAH	ZMO1181-MONOMER OR ZMO1395-MONOMER
NI2t3pp	ZMO0866-MONOMER
NIT1b	CPLX_NIT1b-0
NMNAT	ZMO1662-MONOMER
NMNPtpp	ZMO1564-MONOMER
NNATr	ZMO1662-MONOMER
NNDPR	ZMO1870-MONOMER_mod_mg2(1)
NTD1	ZMO0985-MONOMER_mod_cobalt2(1)
NTD10	ZMO0985-MONOMER_mod_cobalt2(1)
NTD11	ZMO0985-MONOMER_mod_cobalt2(1)
NTD12	ZMO0985-MONOMER_mod_cobalt2(1)
NTD2	ZMO0985-MONOMER_mod_cobalt2(1)
NTD3	ZMO0985-MONOMER_mod_cobalt2(1)
NTD4	ZMO0985-MONOMER_mod_cobalt2(1)
NTD5	ZMO0985-MONOMER_mod_cobalt2(1)
NTD6	ZMO0985-MONOMER_mod_cobalt2(1)
NTD7	ZMO0985-MONOMER_mod_cobalt2(1)
NTD8	ZMO0985-MONOMER_mod_cobalt2(1)
NTD9	ZMO0985-MONOMER_mod_cobalt2(1)
NTP3pp	ZMO0061-MONOMER
NTPP1	ZMO1095-MONOMER_mod_mg2(1)
NTPP10	ZMO0013-MONOMER_mod_mg2(1)
NTPP11	ZMO0013-MONOMER_mod_mg2(1)
NTPP2	ZMO1095-MONOMER_mod_mg2(1)
NTPP3	ZMO1095-MONOMER_mod_mg2(1)
NTPP4	ZMO1095-MONOMER_mod_mg2(1)
NTPP5	ZMO1095-MONOMER_mod_mg2(1)
NTPP6	ZMO1095-MONOMER_mod_mg2(1)
NTPP7	ZMO1095-MONOMER_mod_mg2(1)
NTPP8	ZMO1095-MONOMER_mod_mg2(1)
NTPP9	ZMO0013-MONOMER_mod_mg2(1)
NTPTP1	ZMO1485-MONOMER_mod_mg2(1) OR ZMO0842-MONOMER
NTPTP2	ZMO1485-MONOMER_mod_mg2(1) OR ZMO0842-MONOMER
NTRLASE	ZMO1207-MONOMER OR ZMO1439-MONOMER
NTRLASE2	ZMO1207-MONOMER OR ZMO1439-MONOMER
NTRLASE3	ZMO1207-MONOMER OR ZMO1439-MONOMER
OAADC	ZMO0997-MONOMER
OBTFL	CPLX_OBTFL-0
OCBT	ZMO0409-MONOMER
OGMEACPD	ZMO1146-MONOMER
OGMEACPR	ZMO1222-MONOMER
OGMEACPS	ZMO1899-MONOMER
OHPBAT	ZMO1684-MONOMER
OMPDC	ZMO0587-MONOMER
OPMEACPD	ZMO1146-MONOMER
OPMEACPR	ZMO1222-MONOMER
OPMEACPS	ZMO1278-MONOMER
ORNCD	ZMO1975-MONOMER
ORNDC	ZMO1020-MONOMER
ORNTAC	ZMO0923-MONOMER
ORPT	ZMO1707-MONOMER
OXGDC	ZMO0687-MONOMER
P5CR	ZMO0311-MONOMER OR ZMO1303-MONOMER
PANTS	ZMO1954-MONOMER_mod_mg2(1)_mod_k(1) OR ZMO1954-MONOMER_mod_mg2(1)_mod_nh4(1) OR ZMO1954-MONOMER_mod_mn2(1)_mod_k(1) OR ZMO1954-MONOMER_mod_mn2(1)_mod_nh4(1)
PAPPT3	ZMO0828-MONOMER
PAPSR	CPLX_PAPSR-0
PAPSR2	CPLX_PAPSR2-0 OR CPLX_PAPSR2-1 OR CPLX_PAPSR2-2
PDH	CPLX_PDH-0
PDX5POi	ZMO0851-MONOMER_mod_fmn(1)
PDX5PS	CPLX_PDX5PS-0
PEPTIDOr_ZM	CPLX_PEPTIDOr_ZM-0
PERD	ZMO1008-MONOMER
PFL	CPLX_OBTFL-0
PGAMT	ZMO1002-MONOMER
PGCD	ZMO1685-MONOMER
PGI	ZMO1212-MONOMER
PGK	ZMO0178-MONOMER
PGL	ZMO1478-MONOMER
PGLYCP	ZMO0497-MONOMER_mod_mg2(1)_mod_cl(1) OR ZMO1805-MONOMER
PGM	ZMO1240-MONOMER_mod_23bpg(1)
PGMT	ZMO0442-MONOMER_mod_mg2(1)
PGSA_ZM	ZMO0096-MONOMER_mod_mg2(1)
PHETA1	ZMO0913-MONOMER_mod_pydx5p(6) OR ZMO0913-MONOMER_mod_pydx5p(1)
PHETRS	CPLX_PHETRS-0_mod_mg2(1)
PHYTSpp	ZMO0061-MONOMER
PIuabcpp	CPLX_PIuabcpp-0
PMANM	ZMO0339-MONOMER
PMEACPE	ZMO1916-MONOMER
PMPK	ZMO1003-MONOMER
PNTK	ZMO1867-MONOMER
