complex_id,name,genes,mod,replace
CPLX_3PEPTabcpp-0,Tripeptide (LalaDgluMdap) transport via ABC system (periplasm),222.273.peg.2533() AND 222.273.peg.2532(),,
CPLX_3PEPTabcpp-1,Tripeptide (LalaDgluMdap) transport via ABC system (periplasm),222.273.peg.2531() AND 222.273.peg.3027() AND 222.273.peg.2182(),,
CPLX_METSOXR1-0,L-methionine-S-oxide reductase,222.273.peg.869() AND 222.273.peg.2061(),,
CPLX_AGt3-0,Silver transport out via proton antiport,222.273.peg.5876() AND 222.273.peg.306() AND 222.273.peg.1304(),,
CPLX_ZNabcpp-0,Zinc (Zn+2) transport via ABC system (periplasm),222.273.peg.5869() AND 222.273.peg.5868() AND 222.273.peg.5870(),,
CPLX_PAPSR2-0,Phosphoadenylyl-sulfate reductase (glutaredoxin),222.273.peg.1590() AND 222.273.peg.5690(),,
CPLX_PAPSR2-1,Phosphoadenylyl-sulfate reductase (glutaredoxin),222.273.peg.5642() AND 222.273.peg.1590(),,
CPLX_RNDR1b-0,Ribonucleoside-diphosphate reductase (ADP) (glutaredoxin),222.273.peg.680(2) AND 222.273.peg.679(2),,
CPLX_RNDR1b-1,Ribonucleoside-diphosphate reductase (ADP) (glutaredoxin),222.273.peg.2766() AND 222.273.peg.2768(),,
CPLX_Kabcpp-0,Potassium ABC transporter (periplasm),222.273.peg.1181() AND 222.273.peg.1182() AND 222.273.peg.1183(),,
CPLX_Kabcpp-1,Potassium ABC transporter (periplasm),222.273.peg.1184() AND 222.273.peg.1182() AND 222.273.peg.1181(),,
CPLX_MALTabcpp-0,Maltose transport via ABC system (periplasm),222.273.peg.74() AND 222.273.peg.599() AND 222.273.peg.600() AND 222.273.peg.654() AND 222.273.peg.656() AND 222.273.peg.1268() AND 222.273.peg.2082() AND 222.273.peg.2252() AND 222.273.peg.2804() AND 222.273.peg.2919() AND 222.273.peg.3288() AND 222.273.peg.3545() AND 222.273.peg.4780() AND 222.273.peg.4794() AND 222.273.peg.5553() AND 222.273.peg.5554(),,
CPLX_MANGLYCptspp-0,2-O-alpha-mannosyl-D-glycerate transport via PEP:Pyr PTS (periplasm),222.273.peg.5748() AND 222.273.peg.2198(),,
CPLX_METabcpp-0,L-methionine transport via ABC system (periplasm),222.273.peg.359() AND 222.273.peg.365() AND 222.273.peg.367() AND 222.273.peg.918() AND 222.273.peg.919() AND 222.273.peg.921() AND 222.273.peg.3130() AND 222.273.peg.4113() AND 222.273.peg.5639() AND 222.273.peg.5762(),,
CPLX_ORNabcpp-0,Ornithine transport via ABC system (periplasm),222.273.peg.3943() AND 222.273.peg.5057() AND 222.273.peg.5056(),,
CPLX_PIuabcpp-0,"Phosphate transport via ABC system (uptake, periplasm)",222.273.peg.4758(2) AND 222.273.peg.4761(1) AND 222.273.peg.4759(1) AND 222.273.peg.4760(1),,
CPLX_METDabcpp-0,D-methionine transport via ABC system (periplasm),222.273.peg.921() AND 222.273.peg.920() AND 222.273.peg.365(2),,
CPLX_INDOLEt2pp-0,"Indole transport via proton symport, irreversible (periplasm)",222.273.peg.2544() AND 222.273.peg.2543() AND 222.273.peg.535(),,
CPLX_INSt2pp-0,Inosine transport in via proton symport (periplasm),222.273.peg.54() AND 222.273.peg.57(),,
CPLX_PROabcpp-0,L-proline transport via ABC system (periplasm),222.273.peg.4674() AND 222.273.peg.4675(),,
CPLX_PTRCabcpp-0,Putrescine transport via ABC system (periplasm),222.273.peg.1924(1) AND 222.273.peg.1923(1) AND 222.273.peg.1921(1) AND 222.273.peg.1922(2),,
