Reaction	Metabolites	Stoichiometry
GRXR3	CPLX0-7817	1.0
GRXR3	gthrd	-2.0
GRXR3	gthox	1.0
EAR161y1	nadp	1.0
EAR161y1	EG50003-MONOMER_mod_pan4p(1)_mod_t3c9palme(1)	-1.0
EAR161y1	h	-1.0
EAR161y1	nadph	-1.0
EAR161y1	EG50003-MONOMER_mod_pan4p(1)_mod_hde(1)	1.0
ACPPAT1811	pi	-1.0
ACPPAT1811	EG50003-MONOMER_mod_pan4p(1)_mod_octe(1)	-1.0
ACPPAT1811	h	-1.0
ACPPAT1811	ocdceap	1.0
ACPPAT1811	EG50003-MONOMER_mod_pan4p(1)	1.0
DSBCGT1	gthrd	-2.0
DSBCGT1	DSBC-CPLX	1.0
DSBCGT1	DSBC-CPLX_mod_Oxidized(1)	-1.0
DSBCGT1	gthox	1.0
KAS141	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	-1.0
KAS141	EG50003-MONOMER_mod_pan4p(1)_mod_act(1)	1.0
KAS141	h	-1.0
KAS141	co2	1.0
KAS141	EG50003-MONOMER_mod_pan4p(1)_mod_ac(1)	-1.0
KAS141	EG50003-MONOMER_mod_pan4p(1)	1.0
AACPS31	ppi	1.0
AACPS31	EG50003-MONOMER_mod_pan4p(1)_mod_palm(1)	1.0
AACPS31	atp	-1.0
AACPS31	amp	1.0
AACPS31	hdca	-1.0
AACPS31	EG50003-MONOMER_mod_pan4p(1)	-1.0
Cs_peri_import	cs	-1.0
Cs_peri_import	cs	1.0
S_transfer_to_IscU_mod_2Fe2S(1)_mod_2Fe1S(1)	IscU_mod_2fe2s(1)_mod_2fe1s(1)	-1.0
S_transfer_to_IscU_mod_2Fe2S(1)_mod_2Fe1S(1)	IscU_mod_2fe2s(2)	1.0
