Transcription-Units	Genes of transcription unit	Direction
TU00499	EG30022	+
TU0-14606	EG10265	+
TU0-13410	G6986	+
TU0-42455	EG12298 // EG12297 // EG12296	+
TU0-13804	EG12122	+
TU104	EG10802	+
TU0-42492	EG12268	-
TU0-12921	EG10704 // G6234 // EG10666 // EG11322 // EG11321 // EG11320	+
TU0-14640	EG12957	-
TU0-12956	G6265 // G6264	-
TU00125	G7624 // G7626 // G7627 // EG11172 // EG10991 // EG10990 // EG10989	-
TU0-5001	EG11535	-
TU0-42534	G6891 // G6890 // G6889	+
TU0-13836	EG12657	+
TU0-5522	EG10329 // EG10891 // EG10886 // EG11312	-
TU0-8521	EG10975	+
TU0-12989	G6326	-
TU0-8551	G6228	-
TU0-14134	EG12462	-
TU0-13324	EG11130	-
TU0-6021	EG11225 // EG10095	-
TU0-14679	EG10736 // EG11108	+
TU0-13354	EG11488	-
TU00043	EG10634 // EG10636 // EG10632 // EG10633	-
TU0-8580	G7753	+
TU00071	EG11064	+
TU00508	EG30096	-
TU0-14040	EG11459	+
TU0-13382	G6930	+
TU0-42583	EG10363 // EG10366 // EG10362	-
TU0-14069	EG11849 // EG11848	+
TU00424	EG10484 // EG10485 // EG10486 // EG10487	+
TU00099	EG10060	-
TU00453	EG11336	+
TU0-13814	G7539	-
TU0-13725	G7430 // G7429 // G7428 // G7427 // G7426 // G7425 // EG12845	-
TU0-14107	EG11919	+
TU0-13022	G6371	+
TU0-13756	G7463	-
TU0-14514	G6548	+
TU00483	EG10788 // EG10789 // EG10165	+
TU0-14551	G7624 // G7626 // G7627 // EG11172 // EG10991 // EG10990	-
TU0-14650	EG10510	-
TU0-4191	EG12705	-
TU0-13785	G7507	+
TU0-6486	EG11111	-
TU0-42468	EG11714	+
TU0-12902	G6209 // EG50010 // G6208	-
TU0-14618	G6454 // G6455	-
TU0-12937	EG11622 // G6248	+
TU0-42548	G6706	-
TU0-4823	EG11330 // EG10361 // EG11329	+
TU0-42511	EG11269	+
TU0-8613	G7861	-
TU0-5182	EG10216 // EG10454 // EG11059 // G0-9461	-
TU0-8503	G6423	+
TU0-12969	G6295	-
TU0-8535	G7031	+
TU0-12998	G6338	-
TU0-13306	G6813	+
TU0-5661	EG10575 // EG10574	-
TU0-13416	G6994	+
TU0-13336	G6844	+
TU00027	EG10385 // EG10387 // EG10383	-
TU0-8563	G6378	-
TU00055	EG10791	-
TU0-6362	G7871	-
TU0-14022	EG11720	+
TU0-13366	G6904	-
TU00131	EG10577 // EG10578	+
TU0-14052	EG11481 // EG11479 // G7808 // G7806	+
TU00406	EG11509	+
TU00083	EG10897	-
TU00436	EG10896	+
TU0-8590	EG12274	+
TU0-13708	G7395	-
TU0-14082	EG11875	+
TU0-14142	G7835	-
TU0-13738	G7452	+
TU0-14492	EG11418	-
TU00467	EG10131 // EG10132	-
TU0-14529	EG12608 // EG11557 // EG11558	-
TU0-13392	EG12369	-
TU0-41681	EG10732	-
TU0-13768	G7482	-
TU00514	EG30012 // EG30011	-
TU0-42449	G7277 // G7276	+
TU0-12884	G6173 // G6171	-
TU0-14571	G7948 // G7947	+
TU0-12917	EG11094 // EG10927	-
TU00109	EG10134 // EG10135	+
TU0-4604	EG12368 // G7018	+
TU0-42483	EG50004	+
TU0-13820	G7555	-
TU0-4931	EG10542	+
TU0-8487	G7259	-
TU0-12951	EG10431	+
TU0-8516	G0-8870	+
TU0-14118	EG11932	+
TU0-13289	EG11744	-
TU0-5402	EG10565	+
TU0-14658	EG10910 // EG10903 // EG10893 // EG10878 // EG10912	-
TU0-13320	G6824	-
TU00011	EG10082 // EG11093 // EG10083	+
TU0-8547	G6158	+
TU00039	EG10561 // EG10560	-
TU00492	EG30055 // EG30109 // EG30057	+
TU0-14007	EG30092	+
TU0-13350	EG10030	+
TU0-42560	G7682	+
TU0-14035	G7798	-
TU00390	G6548 // G6547 // EG11489	+
TU00067	EG11024 // EG11025 // EG11026 // EG11027 // EG11028 // EG11274	-
TU00419	EG10158 // EG10159	+
TU0-13794	EG11158 // EG30099	+
TU0-13690	G7360	+
TU0-14065	EG11842 // EG11841	-
TU0-13004	EG11306	-
TU0-13721	G7418 // G7417	+
TU0-14469	EG12845	-
TU00449	EG11035	-
TU0-14510	EG30075	-
TU0-14632	G6970 // G6969	+
TU0-3841	EG12609 // EG11083	-
TU0-13750	G7462	+
TU0-6407	EG11128 // EG10809	+
TU0-41857	EG12394	-
TU0-12868	G6143 // G6142	+
TU0-14547	EG11957 // EG11958 // EG11959 // EG12458	-
TU0-12896	G6191	+
TU0-42524	G6662 // G0-10446 // G0-10645 // G6663	-
TU0-45276	G6855	+
TU0-42463	G6777 // G6778 // G6779 // G6780 // G6781 // G6782	-
TU0-8596	EG11707	+
TU0-4783	G812 // EG11417	-
TU0-8469	G7129	-
TU0-12933	G6245	-
TU0-8499	EG10839	-
TU0-12980	G6314	+
TU0-13271	G6759 // G6758	-
TU0-5101	EG10411	-
TU0-13400	G6968	-
TU0-13302	G6808	-
TU0-941	EG10265 // EG10347 // EG10339 // EG10342 // EG10214 // EG10619 // EG10623 // EG10344 // EG10620 // EG10604 // EG10622 // EG10621 // EG10341 // EG11086 // EG11085 // EG11084	+
TU0-8530	G6515	+
TU00023	EG10333 // EG10332 // EG10331 // EG10330	-
TU0-5903	EG10383	-
TU0-13992	EG11765 // EG11764	-
TU0-13332	G0-10559	-
TU00115	EG10109 // EG10110 // EG10111	-
TU0-14019	EG11195	-
TU00373	G6236 // G6237 // EG10508 // EG11098	-
TU00051	EG10681	+
TU00402	EG10461	+
TU0-8573	G7619	-
TU0-13671	G7350 // G7349	+
TU0-14048	EG11468	+
TU0-14124	EG11940	+
TU0-13702	G7384	-
TU0-14445	EG10265 // EG10347 // EG10339 // EG10342 // EG10214 // EG10619 // EG10623 // EG10344 // EG10620 // EG10604 // EG10622 // EG10621 // EG10341 // EG11086	+
TU00432	EG11390	+
TU0-14488	EG11083	-
TU0-13375	EG11132	+
TU0-36426	EG11036	-
TU0-13733	G7442 // EG13174	+
TU00498	EG30021	+
TU0-4146	EG10545 // EG11284 // EG10316 // EG10455	+
TU0-12850	G6111	+
TU0-14524	EG30076 // EG30083	+
TU0-12880	G6165	-
TU00092	EG10273	-
TU0-45260	EG10702	+
TU0-4222	EG12436	+
TU0-13802	EG11427	-
TU0-45289	EG12189	+
TU0-8360	EG12245	+
TU0-12913	EG11256	+
TU0-8482	G6924	-
TU0-14097	EG11395 // EG11394	+
TU0-13254	EG11219	+
TU0-4924	G7891	-
TU0-14638	EG12414 // EG12415 // EG12416 // EG12417 // G7128	-
TU0-13285	G6774	-
TU0-8849	EG12712	-
TU0-8512	EG11664	+
TU00007	EG10070	+
TU00476	EG10670	-
TU00357	EG10946 // EG10073	+
TU0-13315	G0-16742 // G6818	+
TU0-42533	EG12194 // EG12193	-
TU0-14003	EG11683	+
TU0-13652	G7323 // G7322	-
TU00035	G0-10439 // EG10515 // EG10514 // EG10513	-
TU00386	EG10125	+
TU0-13778	G7494	-
TU0-14413	EG10258	-
TU0-14031	EG11731 // EG11730	-
TU0-12988	G6325	-
TU0-13685	G7358 // G7357	-
TU0-36402	G7949	-
TU00415	G7039 // EG11356 // EG11355	-
TU0-14465	EG11081 // EG11080 // EG10548 // EG10492	+
TU0-14611	G6160 // G6161 // G6162 // G6163	-
TU0-12833	G6096	+
TU0-13716	EG11447	-
TU0-6003	EG11712	+
TU0-3645	G6523 // G6522 // G6521 // G6520 // G6519 // G6518 // G6517	-
TU0-45245	EG11374 // EG10690	-
TU0-14502	EG10353	+
TU0-12864	G6136 // G6135	+
TU0-42499	EG10358 // EG10356	-
TU0-8340	EG11346	-
TU0-4182	EG11424 // EG11189 // EG12210 // EG10838	+
TU0-8579	G7745	-
TU0-45272	EG11591 // EG11592	-
TU0-13236	G6696 // G6695	+
TU0-12892	G6186 // G6185 // G6184 // G6183	+
TU0-8455	G6382 // G6383 // G6381 // G6380 // G6379	+
TU0-12962	EG12384 // G6289 // G6288 // G6287	+
TU0-8833	G7769	-
TU0-4703	EG10524 // EG10526 // EG10527	-
TU0-13381	G6929	+
TU0-13267	G6750	+
TU00338	EG50002 // EG50001	-
TU0-8495	EG12158	-
TU0-8874	EG10695	-
TU0-5564	EG10664 // G7533 // G7532	+
TU0-13635	G7286 // G7285 // G7284 // G7283	-
TU0-13298	G6798	-
TU00098	EG10059 // EG10058 // EG10057	-
TU0-13988	EG11762	-
TU0-14392	G0-10592	-
TU00019	EG10232 // EG10233 // EG10234	+
TU00369	EG11369 // EG11370	+
TU0-8556	EG12454	-
TU0-12815	EG12321 // EG12320	+
TU0-14015	EG11706 // EG11705	-
TU0-14106	EG11208	-
TU0-13666	G0-8910	-
TU0-3464	G6990	-
TU00398	EG10044	-
TU0-14431	G7826	-
TU0-13359	G6892	+
TU0-4523	EG12630	-
TU0-13698	G7377	+
TU00482	EG10788 // EG10789 // EG10165	+
TU0-36422	EG11065	-
TU0-8321	EG11191 // EG10251	+
TU0-14479	G7744 // G7743	+
TU0-12846	G6106	+
TU00076	EG10056	-
TU0-13219	G6667	+
TU0-4001	EG11330 // EG10361 // EG11329 // EG12387 // G7394	+
TU0-13784	G7506 // G7505	-
TU0-45256	EG10594 // EG10592 // EG10593	-
TU0-8817	EG10657	-
TU0-12876	G6157 // G6156 // G6155 // G6154	-
TU0-8354	EG12258 // EG12259	-
TU0-14074	EG11860	+
TU00321	EG10752 // EG10751 // EG10750 // EG10749	-
TU0-45284	EG10125	+
TU0-14617	EG11105	+
TU0-13250	G6730 // G6729 // G6728 // G6727	+
TU0-13617	G7255	+
TU0-8478	G6783 // G6784	-
TU0-8845	G0-9607	-
TU00459	EG10603 // EG11354 // EG11439	+
TU0-14370	EG30023	+
TU0-13280	EG11761	+
TU0-42510	EG11274	-
TU00353	RUVB // RUVA	-
TU0-12797	EG11082	+
TU00003	EG10054	+
TU0-13648	G7317 // G7316	+
TU0-13761	G7470	+
TU0-3301	EG10828	-
TU0-14	EG10412	+
TU0-12968	EG12388 // G6293	+
TU0-14407	EG11551	-
TU0-12794	EG10373 // G0-9563	-
TU00382	EG10701	-
TU0-3622	EG12837 // EG12836 // EG12835 // EG12834	+
TU0-14559	EG12009 // EG12010 // EG12011 // EG12012	-
TU0-3162	EG10174 // EG10173	+
TU0-13680	EG10300	-
TU0-5621	EG10062	-
TU0-12827	EG10570 // EG11411 // EG10207	-
TU0-45212	EG10157	-
TU0-14459	EG11632 // EG11631 // EG11630 // EG11629	+
TU0-45241	EG11942 // EG11943 // EG11448	-
TU0-42475	EG10531	+
TU0-8224	EG10591	-
TU0-3644	G6755 // G6754 // G6753 // G6752 // G6751	+
TU0-8562	G6354	-
TU0-8336	EG10283	-
TU0-13196	EG11759 // EG10130	-
TU0-12860	G6128 // G6127	-
TU0-13232	G0-10449	+
TU0-12942	G58	-
TU0-8794	EG10281	+
TU0-45268	EG12243 // EG50009	-
TU0-13365	G6903	-
TU0-8829	G7908	+
TU0-13598	G7215	+
TU0-8373	EG10238 // EG10861 // EG10546 // EG10545 // EG11284 // EG10316 // EG10455 // G6093	+
TU00334	EG10808 // EG10863	-
TU0-5202	EG10048 // EG10047	-
TU00303	G0-17103 // EG10149 // EG10146 // EG10602 // EG10601	-
TU0-13263	G0-10557	-
TU00082	EG10796 // EG10793	-
TU0-13630	G7275 // G7274	+
TU0-14346	G7093	-
TU0-8868	EG10237 // EG10244	-
TU0-14387	EG10610 // EG10609 // EG10608	-
TU0-8540	EG11748	+
TU0-1195	EG10828 // EG10242	-
TU0-13984	EG10107	+
TU0-14081	EG11874	-
TU0-12810	EG12312 // EG12313 // EG12314	-
TU0-2706	EG10588	-
TU00365	G1 // EG11590 // EG11589 // EG11587 // EG11586 // EG11585	-
TU0-3424	G7840 // EG10775	-
TU0-13342	G6856	+
TU0-45197	G7329	+
TU0-13661	G7337	+
TU00466	EG10757	-
TU0-45226	EG13159 // G85	-
TU0-13179	EG12392	-
TU0-14423	G0-10600	-
TU0-13215	G0-10446 // G6662	-
TU00060	EG10806	-
TU0-8121	EG11556	+
TU0-36417	EG10380 // EG10377	-
TU0-13767	G7481 // G7480 // G0-10544 // G7479 // G7478	-
TU0-8813	EG11124	+
TU0-8774	EG12319	-
TU0-12841	EG10246	-
TU00315	EG11374 // EG10690	-
TU0-14057	EG11830	+
TU0-13581	G7186	-
TU0-45252	EG11699	-
TU0-14568	EG10435 // EG10436 // EG10437 // EG10438	+
TU0-13613	G7245 // G7244 // G7243	+
TU00284	EG10443 // EG10442	-
TU0-8350	G6462	+
TU0-14365	EG12448	-
TU00442	EG10510	-
TU0-14325	G6492	+
TU0-13245	G6724 // G6723 // G0-10542	-
TU0-42482	EG10358	-
TU0-13610	G7236	-
TU821	EG11966	-
TU0-8841	G7003	-
TU0-14362	G7092	-
TU0-13743	G7457	-
TU0-1142	EG10787	+
TU00348	EG11036 // EG10360 // EG10906 // EG10911	-
TU0-12948	EG10245	+
TU0-12790	EG11511	+
TU0-2443	EG12202	-
TU0-13643	G7296	-
TU0-3124	EG12318	+
TU0-14535	G6120 // G6121 // G0-10432 // G6122	-
TU0-45181	EG10031	-
TU0-14403	EG10170	+
TU0-5341	EG12009 // EG12010 // EG12011 // EG12012	-
TU0-45209	EG30072 // EG30079 // EG30033 // EG30086	+
TU0-13162	G6607	+
TU0-3561	G7069	-
TU0-8202	EG11244	-
TU0-42456	EG11447	-
TU0-7842	EG10919	-
TU0-12822	EG11090 // EG12334 // EG12333	-
TU0-8546	G6147	+
TU0-13190	EG11123 // EG11122	-
TU0-8756	EG11674	+
TU0-45237	EG10735 // EG10783	-
TU0-8790	EG10255	+
TU0-12924	G6239 // G198	-
TU0-13565	G7159 // G7158	-
TU0-8331	EG12140	-
TU0-13349	EG10425	-
TU0-13593	EG12449 // EG10075 // EG10580 // EG11144 // G7201 // G7200	-
TU00267	EG11284	+
TU0-13228	EG12155 // G0-9081	-
TU00299	EG10598 // EG10597 // EG10596	-
TU0-5003	EG10599 // EG10600	+
TU0-14306	EG11794	-
TU0-8825	EG12400	+
TU00066	EG10984	-
TU0-14342	G7643	+
TU782	EG11918	-
TU00329	EG10838 // EG12210 // EG11189 // EG11424	+
TU874	EG11030 // EG11871 // M004 // EG10204 // EG11183	-
TU0-8522	G0-9382	+
TU0-13966	EG12247	+
TU0-13626	G7269 // G7268	-
TU0-14064	G7814	-
TU0-1191	EG30091 // EG30103 // EG30073 // EG30080 // EG30009 // EG30044 // EG30087	-
TU0-0	EG10188	+
TU0-14378	EG10175 // EG10176	+
TU0-2644	EG30063	+
TU0-13325	EG10836 // EG11131	-
TU0-2021	EG11209	+
TU0-12807	EG10531	+
TU00448	EG12093 // EG11773 // EG12092 // EG12091 // EG12090 // EG12089 // EG12088 // EG12087 // EG11774 // EG12086 // EG12084 // EG12083 // EG12082	-
TU0-45193	G6851 // G6852	-
TU0-45165	EG30070 // EG30077 // EG30008 // EG30043 // EG30084	+
TU0-3403	EG12201	-
TU0-13175	G6621	-
TU00044	EG10638 // EG10639 // EG10641 // EG10640	+
TU0-13144	EG11430	-
TU0-45222	EG11088 // EG10024 // EG10025 // EG10543	+
TU0-13749	G7461	+
TU0-8082	EG10282 // EG10703 // EG10368	-
TU0-7741	G6791	-
TU0-8266	G0-9582	+
TU0-8768	EG12867	-
TU0-14041	G7802	+
TU0-8739	G7310	-
TU0-13211	G6646 // EG11822 // EG10036	+
TU0-14546	EG10083 // EG11093	+
TU0-13577	G7181	+
TU0-13549	G7146 // EG12104	+
TU0-881	EG10364	+
TU00280	EG10382 // EG11198	-
TU00425	EG10489	+
TU00251	EG10158 // EG10159	+
TU0-8263	G0-9981	-
TU0-42462	G6777 // G6778 // G6779 // G6780 // G6781 // G6782	-
TU0-14321	EG11285	-
TU0-14288	EG10617	-
TU0-13207	G6642	-
TU796	EG12316	+
TU0-13726	EG12634	-
TU661	EG10746	+
TU0-8807	EG10422	+
TU0-12932	G6244	+
TU0-1106	EG13270	-
TU0-13946	EG12220	+
TU00308	EG11519 // EG12075 // EG12076 // EG12077 // EG12078 // EG12079	+
TU0-2421	G0-10689 // EG12525	+
TU0-14515	G7039	-
TU-8417	EG12254	-
TU0-13606	G0-10461	+
TU0-5082	G6867	-
TU0-45177	EG10366 // EG10362	-
TU0-1782	EG11404	-
TU0-14355	EG12163	+
TU0-13157	G6601	-
TU0-4192	EG12434	+
TU0-4502	EG11957 // EG11958 // EG11959 // EG12458 // G7821	-
TU0-12786	EG12309	+
TU0-8529	G6238	+
TU0-7806	EG10432	-
TU0-13127	G6556 // G6555	-
TU0-3103	EG11031	+
TU0-8752	G7552	+
TU0-12903	G6210	-
TU0-7421	EG12957	-
TU0-45205	EG10754	-
TU0-13331	G6837 // G6836 // EG11304 // EG11303 // EG10227	+
TU0-13561	EG12073	-
TU0-8723	G7108	+
TU0-8161	EG11628	-
TU00263	EG11972 // EG11973	-
TU0-4881	EG12631 // EG12629 // EG12630	-
TU0-13529	EG12015	-
TU0-8784	EG10213	-
TU00050	EG10671	-
TU0-14302	EG10380 // EG10377 // EG10379 // EG10381 // EG10378	-
TU00235	EG11501	-
TU0-13589	G7196 // G7195	+
TU721	EG10417	-
TU0-8504	EG11406	-
TU0-14255	EG10881 // EG11231	-
TU00293	EG10520 // EG11190	+
TU0-14047	EG10833	+
TU0-13960	EG12238	+
TU565	EG10441 // EG10900	+
TU0-14336	EG10370 // G0-9385	-
TU-8438	G7033	+
TU0-13307	G0-8892	+
TU0-13928	G7741	+
TU870	EG11096 // EG10996	+
TU00431	EG11390	+
TU0-1963	G7546	+
TU-8390	EG10504	-
TU0-1187	EG30075 // EG30082 // EG30035 // EG30089	-
TU0-45158	G0-10630	+
TU00028	EG10385 // EG10387	-
TU0-1546	G7595	-
TU0-2562	EG10272	-
TU0-13732	G7440	-
TU0-13140	G6572	-
TU0-44218	EG10083	+
TU0-45189	EG10258	-
TU0-7662	G7758	+
TU0-14023	EG11721	+
TU0-13111	G6513	-
TU0-13171	G6618	+
TU0-14523	EG11980 // EG11979 // EG11978	-
TU0-8735	EG12376	+
TU0-7163	EG10520	+
TU0-8021	EG10014	+
TU0-13545	EG12032	-
TU00407	EG11535 // EG11534	-
TU0-8706	EG11645	+
TU0-8764	EG11095	-
TU0-4221	G7352	+
TU00247	EG12608 // EG11557 // EG11558 // EG11559 // EG11560 // EG11561	-
TU0-13512	M007 // G7135	-
TU0-13573	G7175	+
TU0-14278	EG11389 // EG11388 // EG10841	+
TU0-13709	G7396	-
TU00219	EG11866 // EG11867 // EG11868	-
TU00276	EG10322 // EG10323 // EG10324 // EG11224 // EG11975 // EG11976 // EG11977	+
TU0-12912	G6226	+
TU621	EG11225	-
TU0-14237	G0-8888	-
TU0-14316	EG12262	-
TU0-13942	EG12212 // EG10343	+
TU0-14493	EG11161 // EG11162	-
TU502	EG11531	+
TU792	EG11146	-
TU0-4907	EG10367	+
TU-8408	EG11346	-
TU0-13909	EG11180	+
TU0-13975	EG12267	-
TU0-1742	EG11331	-
TU0-41739	G6662	-
TU0-14812	G7366	+
TU0-1061	EG11297 // EG11831	+
TU0-8511	G6882	-
TU0-4462	G7445 // G7446 // G7447	-
TU0-44202	G0-9662	+
TU0-2302	EG11504 // EG11737 // EG11621	-
TU0-13123	G6551 // G6550	+
TU0-12885	G6171 // G6173 // G6174	-
TU0-13094	G6480	+
TU0-45173	EG11158 // EG30099	+
TU0-13314	G6817	-
TU0-7341	EG11443	-
TU0-6942	EG10529 // EG10530	-
TU0-13153	EG10737	+
TU0-8719	EG11659	-
TU0-4623	EG12215	+
TU0-8689	EG11533	+
TU0-7802	G6881	+
TU00034	EG10511	+
TU0-13525	EG12005	-
TU0-13493	EG12844 // G0-9121	-
TU0-8747	G7453	-
TU00231	EG10275 // EG10276	+
TU0-8488	EG11920	-
TU00202	EG10735 // EG10783 // EG10782 // EG10784 // EG10734	-
TU0-13557	EG10885	+
TU0-14030	EG11199	-
TU0-14251	EG10125	+
TU0-14219	G7952 // G7951	+
TU00259	EG10828 // EG10242 // EG10235	-
TU546	EG10031	-
TU0-13290	EG11742 // EG11743	-
TU441	EG12606 // EG50003	+
TU0-14298	G6462 // G6461	+
TU00414	EG11506 // EG11507	-
TU0-13924	G7733 // G7732 // G7731 // G7730 // G7729 // G7728	-
TU0-13893	G7673	+
TU7	G6721 // G6720	+
TU-8385	G7319 // G7320	-
TU00012	EG10084	-
TU0-14785	EG10319 // EG10320	-
TU0-13955	EG12227	-
TU0-13715	G7408 // G7407	-
TU0-1521	G0-17102 // EG10321	-
TU0-4287	EG10691 // EG10985 // EG11569	-
TU-8431	G7366	+
TU0-44213	EG10129	-
TU0-14008	EG11687	+
TU0-13077	EG11112	-
TU0-1881	EG12132 // G7324 // G7325 // G7326	-
TU0-14501	G812	-
TU0-13107	G6507 // G6506 // G6505	-
TU0-6685	EG10860	-
TU0-45150	G7571	-
TU0-7081	EG12148	+
TU00391	EG11751	-
TU0-8672	G6446	+
TU0-13135	EG12303 // EG11500 // EG12302 // EG11494 // EG11493	+
TU0-4181	EG11424 // EG11189 // EG12210 // EG10838	+
TU0-8702	G6744	-
TU0-13476	G7068	+
TU0-7601	G6275	+
TU0-13507	G7126 // G7125 // G0-10528	+
TU0-13691	G7361	+
TU00186	EG10551	+
TU0-8731	G7177	-
TU0-12891	G6182	-
TU00214	EG10055 // EG10052 // EG10053	-
TU0-14202	G7932 // G7931	-
TU0-13539	EG11375 // EG11290	-
TU0-14231	EG11360	-
TU0-14470	EG11591 // EG11592	-
TU356	EG10659	-
TU00243	EG10100 // EG10101 // EG10104 // EG10098 // EG10105 // EG10103 // EG10102 // EG10099 // EG10106	-
TU0-4702	EG10524 // EG10526 // EG10527	-
TU490	EG10467	+
TU0-13877	G7651 // G7650	-
TU0-14273	EG10859	-
TU0-13905	EG11498	+
TU0-3862	EG11078 // EG10652	+
TU0-14751	G6346 // G6345	+
TU593	EG10828 // EG10242 // EG10235	-
TU0-8494	EG11809	+
TU0-14802	G6120 // G6121 // G0-10432 // G6122 // G6123 // G6124 // G6125	-
TU0-42674	G7658 // G7659 // EG12799 // EG12800 // EG12801	-
TU0-13936	G7756	-
TU0-44198	G6281	+
TU0-12869	G6144	-
TU0-13061	G6425	-
TU-8399	G7035	+
TU0-13297	EG11780	-
TU0-13089	G6473	+
TU0-6634	EG10025 // EG10024	+
TU0-1681	EG10954	+
TU0-6885	EG10682 // EG10307 // EG12374	-
TU0-45277	EG30074 // EG30081 // EG30034 // EG30088	+
TU0-8653	G7522	+
TU0-44226	EG10505 // EG10665	-
TU00018	EG10221 // EG10219 // EG10220 // EG10222	+
TU0-8685	G6570	+
TU0-13456	EG11662	+
TU0-13119	G6539	+
TU0-13489	EG11895 // EG11894	-
TU0-8471	G6528 // G6529 // G6530 // G6531	-
TU00170	EG11810 // EG10371 // EG11442	-
TU0-7281	G7697 // EG10077 // G7698 // G7699	-
TU0-14014	EG11696 // EG11695 // EG11694	-
TU00198	EG10031	-
TU0-14184	G7903	+
TU0-8715	G7004	+
TU0-14215	G7950	-
TU0-13272	G6760	+
TU281	G0-16690 // G7347 // G7348 // EG12341 // EG11897	-
TU0-13521	G8208 // EG11995	+
TU00397	EG12202	-
TU403	EG10400	-
TU0-13860	EG12732	+
TU00227	EG10256 // EG10257	-
TU0-13889	EG12801 // EG12800 // EG12799 // G7659 // G7658	-
TU0-961	EG10956	+
TU0-14717	G0-8886	+
TU0-14245	G0-10443	+
TU0-13697	G7376	-
TU0-14775	G0-8910	-
TU0-42626	EG10935	-
TU541	EG10754	-
TU0-42699	EG11176	-
TU0-13993	EG11964	+
TU0-13044	G6401	+
TU0-13919	G7719 // G7718 // EG12903	+
TU0-14478	G7748	+
TU0-13073	G6452 // G6451	+
TU0-6559	EG11063	-
TU-8381	G6939	-
TU0-6657	EG10881	-
TU00374	EG20252 // EG12275 // EG12276 // EG20253	+
TU0-8637	G6762	-
TU0-14820	EG10258	-
TU0-4	EG12705	-
TU0-8666	EG11167	+
TU0-13438	EG11808	-
TU0-4421	EG10635	+
TU0-13470	G7062	+
TU0-13672	EG10781	+
TU00154	EG10483 // EG10484 // EG10485 // EG10486 // EG10487	+
TU0-13103	G6501	-
TU0-12875	G6153	-
TU00182	EG10403 // EG10404 // EG11514	+
TU0-14166	EG12439 // EG12520 // EG12518 // EG12517	+
TU0-7042	EG10974	+
TU0-14198	G7924	-
TU0-14447	G6464	+
TU161	EG10269 // EG10672	-
TU0-8698	G0-10450	+
TU0-45283	EG10044	-
TU348	EG10061	-
TU0-13843	G7587 // G7586 // G7585 // G7584 // G7583 // G0-10545	+
TU0-13503	G0-8885	+
TU0-13873	G7637	+
TU0-36427	EG10525 // G6201	-
TU0-14688	G0-16731 // EG12117	+
TU00210	EG10342 // EG10339 // EG10347	+
TU0-8477	EG10196	+
TU0-14745	EG10576	-
TU0-42593	G6606	+
TU0-14227	EG11492	-
TU0-42664	G6551 // G6550 // G6549	+
TU0-12851	G6112	+
TU0-13028	G0-10440	+
TU486	EG10466	+
TU0-13279	EG11526	+
TU0-13057	G6417	-
TU0-6507	EG10509	+
TU0-13901	G7687 // G7686 // G7685	-
TU0-6626	EG10440 // EG11272 // EG10710 // EG10709	-
TU0-45261	EG12691 // G6637	+
TU0-8620	G7887	+
TU0-14797	G0-10671	-
TU00002	EG11222	-
TU0-8649	EG12017	+
TU0-13421	EG12207	-
TU0-44194	EG10564	+
TU0-13451	EG10706	-
TU0-8361	EG11374 // EG10690	-
TU00137	EG11316	+
TU0-13085	G6469	+
TU0-13999	EG11266	-
TU00166	EG10261 // EG10263 // EG10260 // EG10259 // EG11105	+
TU0-14150	G7841	-
TU0-6861	EG10499 // EG10500	+
TU0-14178	EG12364	+
TU0-13255	G0-9610	-
TU00520	EG30064	-
TU0-8681	G6502	+
TU00381	EG10701	-
TU261	EG10618 // EG11252 // EG12165 // EG12167	+
TU0-13826	G7567	+
TU0-13485	G7087	-
TU0-13856	G7604	+
TU0-8855	EG11272 // EG10881	-
TU0-14669	EG11879 // EG11880	-
TU00194	EG10631	+
TU0-13679	EG11152 // EG12880 // G7354	+
TU0-14704	EG11165 // EG11164 // EG11009	+
TU0-42569	EG10946	+
TU0-14210	EG12587	-
TU0-42614	EG12128	-
TU00358	EG10230 // EG10949	-
TU0-13010	EG10532 // EG10855 // EG11412 // G6350 // G6349	-
TU369	G6786 // EG11490	-
TU0-14458	EG12403	+
TU0-13040	G6395 // EG11677	-
TU0-6428	EG10258 // EG10810	-
TU0-13885	EG10017	+
TU0-6553	EG10550	-
TU0-13654	G0-8879	+
TU0-8602	EG11260	-
TU0-14767	G0-10653	-
TU0-36438	G0-10694	-
TU0-8632	G6435	-
TU0-13406	G6981	-
TU0-42695	EG11489	+
TU0-13434	G7016 // G7015	+
TU0-14414	EG10258	-
TU00121	EG10359	-
TU0-13069	G6443 // G6442	-
TU0-12859	G6126 // G6125 // G6124 // G6123 // G6122 // G0-10432 // G6121 // G6120	-
TU00150	EG12738	+
TU0-14130	G0-9541	+
TU0-6651	EG10493	+
TU0-14162	EG10043	+
TU0-36403	EG10821	+
TU00504	EG11037 // EG30102 // EG30107 // EG30036 // EG30101	+
TU0-8662	G7863	+
TU0-45267	EG10828 // EG10242	-
TU122	EG10802	+
TU0-13809	EG11779 // EG12443	-
TU0-13466	G7055	+
TU0-13838	EG11165 // EG11164 // EG11009	+
TU0-12834	G372 // G6097	-
TU0-14646	G7321	-
TU00178	EG11277 // EG10998 // EG10999 // EG11000	+
TU0-8368	EG12151 // EG12150 // EG13238	-
TU0-14681	EG11362 // EG10230	-
TU0-42543	EG10637	-
TU0-14193	EG12557 // G0-10241 // EG12556 // G7915 // EG12554 // G7914 // G7913	-
TU0-42588	EG10363	-
