Transcription-Units	Genes of transcription unit	Direction
TU0-8367	EG12121 // EG12120	+
TU0-13291	G6787	-
TU00095	EG11811	+
TU0-13260	EG12865	+
TU0-12991	G0-10438	+
TU00013	EG10117	-
TU0-8865	G6879 // EG11043	-
TU0-14009	EG11688	+
TU0-14103	EG11915 // EG11543 // EG11702	+
TU0-13982	EG11186	-
TU0-6043	EG11104	+
TU00392	G6543 // G6544 // G6545 // G6546	-
TU00363	EG10689 // EG11817	-
TU0-13692	G7363 // G7362	-
TU00479	EG10788 // EG10789 // EG10165	+
TU0-13659	G7328	+
TU0-8583	EG12211	+
TU0-14471	EG10168 // G6361 // G6362 // G6363	-
TU0-14421	G0-10598	+
TU0-3882	EG11612	+
TU0-13781	G7498 // G7497	+
TU0-36413	G7185 // G7184	+
TU0-13384	G6934	+
TU0-12870	G6146 // G6145 // G0-10538	-
TU0-12839	EG11648	+
TU0-45278	G7347 // G7348 // EG12341 // EG11897	-
TU0-14614	EG11003	+
TU0-45250	EG12957	-
TU00101	EG10182 // EG10181 // EG10180 // EG10179 // EG10178	-
TU0-8472	EG10063	+
TU0-8347	G7826 // G7827	-
TU0-13273	G6761	+
TU0-42504	EG11432 // EG11431	+
TU0-13242	G6705 // G6704 // G6703	+
TU0-14111	EG11923	+
TU0-962	EG10956	+
TU0-8839	G0-8899	-
TU0-13994	EG11888	+
TU0-12965	EG10328 // EG12879	-
TU00346	EG10905 // EG10764 // EG10917 // EG10870	+
TU00485	EG11279 // EG10811 // EG10805	-
TU00375	EG10249	+
TU0-13641	EG11460	+
TU0-13673	EG12857	+
TU0-5569	G7532	+
TU0-14399	EG10206	+
TU0-13787	EG11071	-
TU0-14448	G6464	+
TU0-12820	EG10605	+
TU0-36430	EG11680 // G7665 // G7664 // G7663 // G7662 // EG12802	+
TU0-8559	G6329	+
TU0-45235	EG10503	-
TU0-14621	G6557	-
TU0-12852	G6114	+
TU0-8328	G7123	+
TU0-45262	EG11128 // EG10809 // EG12691 // G6637	+
TU0-13362	G6896	+
TU0-13226	EG10827 // EG11899 // EG11900 // EG11901 // G6677 // G6676	-
TU0-42513	EG11275	-
TU0-8362	EG11374 // EG10690	-
TU0-8823	G7199	+
TU0-13256	G6736	-
TU00079	EG10192	+
TU00327	EG10821	+
TU0-12971	G6297 // G6296 // G0-10530	+
TU0-8856	EG11272	-
TU0-13624	G7262	-
TU00359	EG11089 // EG10962 // EG10963	-
TU0-14077	EG11870	+
TU0-14376	EG11263 // G7701	-
TU0-5741	G0-16700 // EG11933	+
TU0-13655	EG11601	-
TU0-12805	EG12094 // G0-9381 // EG11574 // EG11573 // EG11572	-
TU0-14415	EG10452 // EG10007 // EG12125 // EG12124	-
TU00463	EG10757	-
TU0-3382	EG11699	-
TU0-8565	G6398	-
TU0-36404	EG11727 // EG11726	+
TU0-45220	EG10803	+
TU0-12835	EG12137 // EG12354 // G6098	+
TU0-13764	G7473	+
TU0-8264	G7940	-
TU0-13368	G6913 // G6912 // G6911	-
TU0-45247	EG12267	-
TU0-13209	G0-16737 // G6643 // G6644	-
TU0-8343	G7517 // G7516 // EG11445 // EG11444	+
TU0-14563	EG10435 // EG10436 // EG10437 // EG10438 // EG10595	+
TU0-8261	G6933	+
TU00085	EG11276 // EG11005 // EG11006	+
TU0-13238	G6698	-
TU0-13205	G6641	-
TU0-8835	G7150	-
TU0-42479	EG10376	-
TU0-8805	EG12181	-
TU0-14088	EG11882	-
TU00340	EG10892 // EG10862	+
TU00306	EG10644 // EG10645 // EG10647 // EG10648	-
TU0-13637	G7293	-
TU0-12945	EG10765 // EG12830	-
TU0-13604	G7229 // G7228	+
TU00469	EG10380 // EG10377 // EG10379	-
TU0-14394	EG11081 // EG11080 // EG10548 // EG10492	+
TU0-14353	G7119	-
TU0-12817	EG11749	+
TU0-5261	EG12052 // EG12053 // EG12054 // EG12055 // EG12169 // EG12057 // EG12058 // EG12059	-
TU0-1261	EG12096 // EG11250	+
TU0-13770	EG30037	-
TU0-3481	G7211	-
TU0-3101	EG13283 // G7233	-
TU0-45231	G6786 // EG11490	-
TU0-8543	G6100	+
TU0-45203	EG11015	-
TU0-14574	EG30050 // EG12095	-
TU0-8324	G0-17088 // EG10642	+
TU0-8149	EG10708	+
TU0-13221	EG11246	-
TU0-13345	G6862 // G6861	+
TU0-8782	EG10203	+
TU0-42486	EG11277	+
TU0-8819	EG11527	+
TU0-13587	G7193	-
TU00323	EG11403 // EG11510	+
TU00063	EG10843 // EG10842	+
TU00291	EG11079 // EG10492 // EG10548 // EG11080 // EG11081	+
TU0-12953	G6256	-
TU0-13620	EG10534 // G0-10462	-
TU0-14333	G0-8862	+
TU0-14372	EG30024	+
TU0-14061	EG11837	+
TU866	EG11734	+
TU0-5481	G6849 // G6848 // G6847 // G6846 // G6845	+
TU0-12800	EG10521 // EG11568	+
TU0-1184	EG30072 // EG30079 // EG30033 // EG30086	+
TU0-3304	EG10506	-
TU00445	EG10156	+
TU0-2505	EG11013	+
TU0-8549	G6194	+
TU0-45217	G6118 // G6117 // G6116 // G6115	+
TU0-45187	EG10828 // EG10242	-
TU0-3202	EG12697	+
TU0-13746	G7459 // EG12188	-
TU0-13169	G6616	+
TU0-13352	G6869	+
TU0-45214	EG10782 // EG10784 // EG10734	-
TU0-7981	EG12399 // G6626 // G6627	-
TU0-8242	EG10925	-
TU0-14538	EG12437 // EG11532 // EG11368 // EG12438 // EG10579	-
TU0-8762	G0-8882	-
TU00069	EG11061	-
TU0-13199	EG10705	+
TU0-13571	G7173	-
TU0-8799	EG11103	-
TU0-42459	EG11447	-
TU00274	EG10841 // EG11388 // EG11389	+
TU0-14067	EG11844	-
TU0-13600	G7218	+
TU0-14314	G7422	-
TU0-14349	EG11537	+
TU0-12927	EG12182	-
TU790	G6851 // G6852	-
TU00451	G7025 // G7024	-
TU0-1198	EG12231	-
TU0-13973	G0-9042	+
TU0-2708	EG10588	-
TU0-5061	EG10581	+
TU0-1022	G7401 // G7402 // EG12381 // EG20257	+
TU0-13754	EG11157	-
TU0-45199	EG10830 // EG11070 // EG11071	-
TU0-2121	G6447 // EG10852	+
TU0-13181	G0-9609	-
TU0-8526	EG11600	+
TU0-45171	EG10468 // EG10469 // EG10470 // EG10471 // EG10472 // EG10473	+
TU0-14549	EG11016 // EG30108	-
TU0-8145	EG12624	+
TU0-13151	G6598 // EG12877 // G6597 // G6596 // G6595 // G6594 // G6593 // G6592 // G6591 // G6590	+
TU0-8778	EG12209	-
TU0-13328	EG10226	+
TU0-7783	G6312	-
TU0-42466	EG10935	-
TU0-13583	G7189	-
TU0-8745	G7399	+
TU00286	EG10460 // EG10458	-
TU00047	EG12360 // EG10660 // EG10661	+
TU0-13555	EG12044	-
TU0-12935	G6246	+
TU0-14327	G7366 // G7365	+
TU00257	EG11068 // EG10211	-
TU861	EG12031	+
TU0-14044	EG11466	-
TU0-14295	EG11768	-
TU0-5162	G7860 // G7859 // G7858 // EG12495 // EG12494 // G7856	+
TU0-1161	G6094	+
TU685	EG11519	+
TU0-14364	EG11344	-
TU0-2501	EG11013	+
TU00428	EG12123	-
TU0-13952	EG12224 // EG12223 // EG11767	-
TU0-12792	G6082	-
TU0-8533	G6365	+
TU0-45183	EG10059 // EG10058 // EG10057	-
TU-8428	G6885 // G6884 // G6883	+
TU0-3145	G7486 // G7487 // G7485	+
TU0-13164	G0-10261	+
TU0-13729	G7436 // G7435	-
TU0-1822	G6318 // G6319	-
TU0-45210	EG10390	+
TU0-13334	G6840	-
TU0-7861	G6806 // G6805 // G6804 // G6803 // G6802 // G6801 // G6800	+
TU0-45146	EG11514	+
TU0-8221	EG10584	+
TU0-8758	G7577	-
TU0-14519	EG11036	-
TU0-13133	G6563	+
TU0-13194	G6636 // G6635 // G6634	+
TU00053	EG10728 // EG10733	+
TU0-13567	G7162	-
