Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
NCTC13359_05567-MONOMER	Inner_Membrane	NCTC13359_05567()	Inner_Membrane	r
NCTC13359_04256-MONOMER	Periplasm	NCTC13359_04256()	Periplasm	s
NCTC13359_01791-MONOMER	Inner_Membrane	NCTC13359_01791()	Inner_Membrane	r
NCTC13359_04019-MONOMER	Inner_Membrane	NCTC13359_04019()	Periplasm	s
CPLX_RIBabcpp-0	Inner_Membrane	NCTC13359_04019()	Periplasm	s
NCTC13359_04017-MONOMER	Inner_Membrane	NCTC13359_04017()	Inner_Membrane	r
CPLX_RIBabcpp-0	Inner_Membrane	NCTC13359_04017()	Inner_Membrane	r
NCTC13359_06094-MONOMER	Inner_Membrane	NCTC13359_06094()	Inner_Membrane	r
NCTC13359_06095-MONOMER	Inner_Membrane	NCTC13359_06095()	Inner_Membrane	t
NCTC13359_06096-MONOMER	Inner_Membrane	NCTC13359_06096()	Periplasm	t
NCTC13359_00355-MONOMER	Inner_Membrane	NCTC13359_00355()	Inner_Membrane	r
CPLX_ATPS4rpp-0	Inner_Membrane	NCTC13359_00355()	Inner_Membrane	r
NCTC13359_00350-MONOMER	Inner_Membrane	NCTC13359_00350()	Inner_Membrane	y
CPLX_ATPS4rpp-0	Inner_Membrane	NCTC13359_00350()	Inner_Membrane	y
NCTC13359_00357-MONOMER	Inner_Membrane	NCTC13359_00357()	Inner_Membrane	p
CPLX_ATPS4rpp-0	Inner_Membrane	NCTC13359_00357()	Inner_Membrane	p
NCTC13359_00356-MONOMER	Inner_Membrane	NCTC13359_00356()	Inner_Membrane	r
CPLX_ATPS4rpp-0	Inner_Membrane	NCTC13359_00356()	Inner_Membrane	r
NCTC13359_01477-MONOMER	Inner_Membrane	NCTC13359_01477()	Inner_Membrane	r
NCTC13359_04941-MONOMER	Inner_Membrane	NCTC13359_04941()	Inner_Membrane	p
CPLX_ILEabcpp-0	Inner_Membrane	NCTC13359_04941()	Inner_Membrane	p
NCTC13359_04940-MONOMER	Inner_Membrane	NCTC13359_04940()	Inner_Membrane	r
CPLX_ILEabcpp-0	Inner_Membrane	NCTC13359_04940()	Inner_Membrane	r
NCTC13359_05382-MONOMER	Inner_Membrane	NCTC13359_05382()	Inner_Membrane	r
NCTC13359_00927-MONOMER	Inner_Membrane	NCTC13359_00927()	Inner_Membrane	r
NCTC13359_06275-MONOMER	Inner_Membrane	NCTC13359_06275()	Inner_Membrane	r
NCTC13359_03086-MONOMER	Inner_Membrane	NCTC13359_03086()	Inner_Membrane	r
NCTC13359_01874-MONOMER	Inner_Membrane	NCTC13359_01874()	Inner_Membrane	r
CPLX_PTRCabcpp-6	Inner_Membrane	NCTC13359_01874()	Inner_Membrane	r
NCTC13359_01875-MONOMER	Inner_Membrane	NCTC13359_01875()	Inner_Membrane	r
CPLX_PTRCabcpp-6	Inner_Membrane	NCTC13359_01875()	Inner_Membrane	r
NCTC13359_06047-MONOMER	Inner_Membrane	NCTC13359_06047()	Inner_Membrane	r
NCTC13359_03307-MONOMER	Periplasm	NCTC13359_03307()	Periplasm	s
NCTC13359_01888-MONOMER	Inner_Membrane	NCTC13359_01888()	Inner_Membrane	r
NCTC13359_01930-MONOMER	Inner_Membrane	NCTC13359_01930()	Inner_Membrane	r
NCTC13359_05863-MONOMER	Inner_Membrane	NCTC13359_05863()	Inner_Membrane	r
NCTC13359_01841-MONOMER	Inner_Membrane	NCTC13359_01841()	Inner_Membrane	p
NCTC13359_03317-MONOMER	Outer_Membrane	NCTC13359_03317()	Outer_Membrane	sb
NCTC13359_00019-MONOMER	Inner_Membrane	NCTC13359_00019()	Inner_Membrane	r
NCTC13359_04148-MONOMER	Inner_Membrane	NCTC13359_04148()	Inner_Membrane	r
