complex_id,name,genes,mod,replace
BSU15920-MONOMER,,,pan4p(1) AND oc(1),
BSU15920-MONOMER,,,pan4p(1) AND 3hoct(1),
BSU15920-MONOMER,,,pan4p(1) AND tdec2e(1),
BSU15920-MONOMER,,,pan4p(1) AND cdec3e(1),
BSU15920-MONOMER,,,pan4p(1) AND 3odec(1),
BSU15920-MONOMER,,,pan4p(1) AND dca(1),
BSU15920-MONOMER,,,pan4p(1) AND 3hdec(1),
BSU15920-MONOMER,,,pan4p(1) AND t3c5ddece(1),
BSU15920-MONOMER,,,pan4p(1) AND 3ocddec5e(1),
BSU15920-MONOMER,,,pan4p(1) AND tddec2e(1),
BSU15920-MONOMER,,,pan4p(1) AND cddec5e(1),
BSU15920-MONOMER,,,pan4p(1) AND 3oddec(1),
BSU15920-MONOMER,,,pan4p(1) AND 3hcddec5e(1),
BSU15920-MONOMER,,,pan4p(1) AND ddca(1),
BSU15920-MONOMER,,,pan4p(1) AND 3hddec(1),
BSU15920-MONOMER,,,pan4p(1) AND t3c7mrse(1),
BSU15920-MONOMER,,,pan4p(1) AND 3ocmrs7e(1),
BSU15920-MONOMER,,,pan4p(1) AND tde(1),
BSU15920-MONOMER,,,pan4p(1) AND tmrs2e(1),
BSU15920-MONOMER,,,pan4p(1) AND 3omrs(1),
BSU15920-MONOMER,,,pan4p(1) AND 3hcmrs7e(1),
BSU15920-MONOMER,,,pan4p(1) AND myrs(1),
BSU15920-MONOMER,,,pan4p(1) AND 3hmrs(1),
BSU15920-MONOMER,,,pan4p(1) AND t3c9palme(1),
BSU15920-MONOMER,,,pan4p(1) AND 3ocpalm9e(1),
BSU15920-MONOMER,,,pan4p(1) AND hde(1),
BSU15920-MONOMER,,,pan4p(1) AND tpalm2e(1),
BSU15920-MONOMER,,,pan4p(1) AND 3opalm(1),
BSU15920-MONOMER,,,pan4p(1) AND 3hcpalm9e(1),
BSU15920-MONOMER,,,pan4p(1) AND palm(1),
BSU15920-MONOMER,,,pan4p(1) AND 3hpalm(1),
BSU15920-MONOMER,,,pan4p(1) AND t3c11vace(1),
BSU15920-MONOMER,,,pan4p(1) AND 3ocvac11e(1),
BSU15920-MONOMER,,,pan4p(1) AND toctd2e(1),
BSU15920-MONOMER,,,pan4p(1) AND octe(1),
